time,site,precip,rh,solrad,temp
1969-06-01,3812,0.0,0.657994019787408,0.0,25.0
1969-07-01,3812,0.0,0.7573831089630804,0.0,25.6
1969-08-01,3812,0.0,0.7549512797951078,0.0,23.9
1969-09-01,3812,99.0,1.0,0.0,20.0
1969-10-01,3812,0.0,0.8318579831112242,0.0,15.6
1969-11-01,3812,3.0,1.0,0.0,11.7
1969-12-01,3812,0.0,0.3824141965766798,0.0,2.2
1970-01-01,3812,0.0,0.8838455385137965,0.0,1.1
1970-02-01,3812,0.0,0.3706289399564911,0.0,3.3
1970-03-01,3812,0.0,0.3205773004326388,0.0,12.2
1970-04-01,3812,0.0,0.5275048823682406,0.0,15.6
1970-05-01,3812,0.0,0.6817133482901306,0.0,23.9
1970-06-01,3812,0.0,0.8364573895572344,0.0,20.0
1970-07-01,3812,0.0,0.5983041559821622,0.0,27.2
1970-08-01,3812,0.0,0.7855905966795803,0.0,25.0
1970-09-01,3812,0.0,0.6394033199454208,0.0,26.1
1970-10-01,3812,0.0,0.5327014988807541,0.0,17.8
1970-11-01,3812,0.0,1.0,0.0,14.4
1970-12-01,3812,0.0,0.8300307890753449,0.0,13.9
1971-01-01,3812,0.0,0.9571891250705766,0.0,0.0
1971-02-01,3812,0.0,0.5424438341638693,0.0,-6.1
1971-03-01,3812,0.0,0.3598038607792019,0.0,11.7
1971-04-01,3812,0.0,0.3524752252888001,0.0,13.9
1971-05-01,3812,0.0,0.6147290814693538,0.0,13.9
1971-06-01,3812,0.0,0.3914695923175033,0.0,23.9
1971-07-01,3812,0.0,0.7604603123784923,0.0,24.4
1971-08-01,3812,0.0,0.9269987238365892,0.0,20.6
1971-09-01,3812,0.0,0.7827463313285342,0.0,22.8
1971-10-01,3812,0.0,0.7589011996119697,0.0,23.3
1971-11-01,3812,0.0,1.0,0.0,19.4
1971-12-01,3812,0.0,0.7525312365952075,0.0,1.7
1972-01-01,3812,0.0,0.6766546544578611,0.0,6.1
1972-02-01,3812,0.0,0.415515821204392,0.0,1.7
1972-03-01,3812,0.0,0.5550140872986468,0.0,17.8
1972-04-01,3812,0.0,0.9653153881417058,0.0,4.4
1972-05-01,3812,0.0,0.6238769715404748,0.0,18.3
1972-06-01,3812,0.0,0.6632381821171698,0.0,13.9
1972-07-01,3812,0.0,0.5900994139202066,0.0,23.3
1972-08-01,3812,0.0,0.8375787879444091,0.0,21.1
1972-09-01,3812,0.0,0.7286835343111048,0.0,22.2
1972-10-01,3812,0.0,0.8590217661196571,0.0,8.3
1972-11-01,3812,0.0,0.8625885363395113,0.0,12.2
1972-12-01,3812,0.0,0.9650433139145717,0.0,3.3
1973-01-01,3812,0.0,0.9300679746392324,0.0,14.4
1973-02-01,3812,0.0,0.4986802172700503,0.0,3.9
1973-03-01,3812,0.0,0.6490307139922269,0.0,6.7
1973-04-01,3812,0.0,1.0,0.0,14.4
1973-05-01,3812,0.0,0.4810240503727978,0.0,19.4
